id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
51518,166490,FILA World Tour Tennis,NULL,2002-10-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51822,49555,Combat Choro Q: Advance Daisakusen,NULL,2002-09-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52511,8079,The Revenge of the Smurfs,NULL,2002-10-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52803,3971,Largo Winch: Empire Under Threat,NULL,2002-09-06 00:00:00.000,NULL,NULL,NULL,NULL,50.4124,5
53028,4224,Ultimate Muscle: Legends vs. New Generation,NULL,2002-11-22 00:00:00.000,NULL,NULL,80.0000,1,62.0000,0
53103,69840,Inquisition,NULL,2002-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54307,4159,Space Raiders,NULL,2002-12-19 00:00:00.000,NULL,NULL,NULL,NULL,35.0000,1
56080,23759,Natural Selection,NULL,2002-10-31 00:00:00.000,1,NULL,60.0000,1,NULL,NULL
56109,6163,Steel Battalion,NULL,2002-09-12 00:00:00.000,1,NULL,76.5000,3,NULL,NULL
56112,93353,Masq,NULL,2002-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
56166,3904,Eisei Meijin VI,NULL,2002-09-26 00:00:00.000,NULL,NULL,NULL,NULL,23.0000,0
56404,37372,Inuyasha: Kagome no Yume Nikki,NULL,2002-12-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56615,3926,Gakuen Toshi Vara Noir,NULL,2002-10-31 00:00:00.000,NULL,NULL,NULL,NULL,23.0000,0
56765,6489,Karnaaj Rally,NULL,2002-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
57400,49339,Disney's Tarzan: Return to the Jungle,NULL,2002-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
57630,6014,Robot Wars: Extreme Destruction,NULL,2002-10-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58281,62146,USA Racer,NULL,2002-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
58439,49241,Shrek: Hassle at the Castle,NULL,2002-10-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58496,43340,XII Stag,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
